player_name, player_id, game_id, game_season, data_game, age, team_id, game_location, opp_id, game_result, gs, mp, fg, fga, fg_pct, fg3, fg3a, fg3_pct, ft, fta, ft_pct, orb, drb, trb , ast, stl, blk, tov, pf, pts, game_score, plus_minus
Carmelo Anthony,a/anthoca01,pgl_basic.903,1,2016-10-25,32-149,NYK,@,CLE,L (-29),1,30:05,8,18,.444,1,4,.250,2,2,1.000,1,4,5,3,1,0,4,5,19,8.6,-19
Carmelo Anthony,a/anthoca01,pgl_basic.904,2,2016-10-29,32-153,NYK,,MEM,W (+7),1,35:31,5,15,.333,1,5,.200,9,12,.750,0,6,6,5,0,0,3,2,20,11.8,+13
Carmelo Anthony,a/anthoca01,pgl_basic.905,3,2016-11-01,32-156,NYK,@,DET,L (-13),1,35:13,8,17,.471,2,6,.333,6,7,.857,0,2,2,1,4,0,2,2,24,17.4,-7
Carmelo Anthony,a/anthoca01,pgl_basic.906,4,2016-11-02,32-157,NYK,,HOU,L (-19),1,31:01,8,15,.533,1,4,.250,4,5,.800,1,6,7,1,1,0,5,3,21,11.3,-17
Carmelo Anthony,a/anthoca01,pgl_basic.907,5,2016-11-04,32-159,NYK,@,CHI,W (+13),1,35:54,9,22,.409,2,6,.333,5,5,1.000,3,4,7,4,0,1,1,4,25,17.4,+13
Carmelo Anthony,a/anthoca01,pgl_basic.908,6,2016-11-06,32-161,NYK,,UTA,L (-5),1,35:28,12,20,.600,0,6,.000,4,6,.667,1,8,9,3,0,0,1,5,28,20.2,+3
Carmelo Anthony,a/anthoca01,pgl_basic.909,7,2016-11-09,32-164,NYK,,BRK,W (+14),1,34:27,9,22,.409,2,6,.333,2,2,1.000,1,7,8,2,1,1,0,3,22,14.9,+3
Carmelo Anthony,a/anthoca01,pgl_basic.910,8,2016-11-11,32-166,NYK,@,BOS,L (-28),1,12:11,5,8,.625,1,1,1.000,1,1,1.000,0,2,2,1,0,0,1,2,12,7.9,-6
Carmelo Anthony,a/anthoca01,pgl_basic.911,9,2016-11-12,32-167,NYK,@,TOR,L (-11),1,37:41,10,21,.476,3,7,.429,8,9,.889,0,6,6,4,0,0,1,5,31,21.5,-4
Carmelo Anthony,a/anthoca01,pgl_basic.912,10,2016-11-14,32-169,NYK,,DAL,W (+16),1,32:54,8,18,.444,3,6,.500,5,6,.833,2,6,8,3,0,2,3,3,24,16.7,+17
Carmelo Anthony,a/anthoca01,pgl_basic.913,11,2016-11-16,32-171,NYK,,DET,W (+3),1,36:55,9,17,.529,4,6,.667,0,0,,1,4,5,3,1,0,2,0,22,16.7,-2
Carmelo Anthony,a/anthoca01,pgl_basic.914,12,2016-11-17,32-172,NYK,@,WAS,L (-7),1,35:21,7,17,.412,1,8,.125,4,4,1.000,0,3,3,3,1,0,1,4,19,11.3,-3
Carmelo Anthony,a/anthoca01,pgl_basic.915,13,2016-11-20,32-175,NYK,,ATL,W (+10),1,37:45,12,22,.545,4,8,.500,3,3,1.000,2,5,7,3,2,0,3,4,31,22.8,+8
Carmelo Anthony,a/anthoca01,pgl_basic.916,14,2016-11-22,32-177,NYK,,POR,W (+4),1,35:34,7,22,.318,3,9,.333,0,0,,2,4,6,0,1,1,1,3,17,6.5,-1
Carmelo Anthony,a/anthoca01,pgl_basic.917,15,2016-11-25,32-180,NYK,,CHO,W (+2),1,41:09,14,25,.560,3,6,.500,4,4,1.000,1,12,13,5,2,1,2,2,35,30.8,+7
Carmelo Anthony,a/anthoca01,pgl_basic.918,16,2016-11-26,32-181,NYK,@,CHO,L (-5),1,33:44,7,25,.280,2,7,.286,2,2,1.000,1,7,8,2,0,0,2,2,18,4.7,-16
Carmelo Anthony,a/anthoca01,pgl_basic.919,17,2016-11-28,32-183,NYK,,OKC,L (-9),1,34:21,4,19,.211,0,1,.000,10,11,.909,1,8,9,2,1,1,1,1,18,10.7,-9
Carmelo Anthony,a/anthoca01,pgl_basic.920,18,2016-11-30,32-185,NYK,@,MIN,W (+2),1,35:19,5,16,.313,1,6,.167,3,4,.750,1,3,4,2,3,0,3,3,14,6.2,-17
