Player,Team,Position,Mean,Standard Deviation,FPPM
A.J. Hammons,6.0,yellow,7.24,5.78604231874,0.859355120886
Aaron Brooks,11.0,red,9.97258064516,6.67884277192,0.656037377105
Aaron Gordon,21.0,green,23.61875,10.7047853223,0.806551151212
Aaron Harrison,3.0,blue,1.6,1.256980509,0.443805312054
Adreian Payne,17.0,purple,8.54,6.63904037816,0.984180708162
Al Horford,1.0,yellow,32.6397058824,9.10532302419,1.01031627529
Al Jefferson,11.0,yellow,15.2292307692,6.91397414383,1.07258029057
Al-Farouq Aminu,24.0,green,22.4704918033,8.37620328196,0.765999326291
Alan Anderson,12.0,green,4.86785714286,4.50539212512,0.434328353276
Alan Williams,23.0,yellow,19.030952381,13.9589727782,1.09264885775
Alec Burks,28.0,blue,12.0853658537,7.11844649399,0.749426343252
Alex Abrines,20.0,blue,10.2953846154,6.72124501974,0.666358141506
Alex Len,23.0,yellow,18.9935064935,8.356455709,0.940375167978
Alex Poythress,22.0,purple,19.3833333333,7.89263369647,0.730283634554
Alexis Ajinca,18.0,yellow,13.1621621622,8.64986677326,0.82402100686
Allen Crabbe,24.0,blue,17.8506329114,8.35239676055,0.617163615134
Alonzo Gee,7.0,green,6.01428571429,8.46904728436,0.368465507697
Amir Johnson,1.0,purple,16.7708860759,8.53978850244,0.808910910939
Anderson Varejao,9.0,yellow,6.43,3.59105369866,0.961209688311
Andre Drummond,8.0,yellow,35.2222222222,10.7674161246,1.18411490916
Andre Iguodala,9.0,green,20.1881578947,7.83753306605,0.772589685706
Andre Roberson,20.0,green,18.2481012658,7.94385524114,0.592687968668
Andrew Bogut,6.0,yellow,18.347826087,6.19145429444,0.779483695638
Andrew Harrison,14.0,red,13.9782608696,8.26053462102,0.674632006331
Andrew Nicholson,21.0588235294,purple,6.00588235294,5.84480589295,0.583633526129
Andrew Wiggins,17.0,green,32.9097560976,10.4816902058,0.88221256223
Anthony Bennett,2.0,purple,11.71,6.32945495284,1.0171229723
Anthony Brown,18.5454545455,green,9.46363636364,6.86138577247,0.802655849883
Anthony Davis,18.0,yellow,50.084,15.1696179289,1.37826588957
Anthony Morrow,17.2765957447,blue,8.77021276596,6.06299953778,0.628868357392
Anthony Tolliver,25.0,purple,15.3483870968,7.81469280173,0.634962550379
Archie Goodwin,4.28571428571,blue,13.15,9.01445341495,0.877577742379
Arinze Onuaku,21.0,yellow,2.26666666667,1.22202018532,0.811319073084
Aron Baynes,8.0,yellow,12.3739130435,6.86293652151,0.767170701499
Arron Afflalo,25.0,blue,13.75,6.58378851319,0.515775509248
Austin Rivers,12.0,blue,19.522972973,9.29721636493,0.681227421663
Avery Bradley,1.0,blue,29.1236363636,9.29754972971,0.873691149724
Axel Toupane,17.3333333333,green,5.56666666667,5.00905846109,0.26812919505
Ben Bentil,6.0,purple,0.0,,0.0
Ben McLemore,25.0,blue,13.6446428571,9.13954284997,0.603438360091
Beno Udrih,8.0,red,14.1970588235,6.84528084707,0.861542757654
Bismack Biyombo,21.0,yellow,17.7820512821,8.443774985,0.804501138059
Blake Griffin,12.0,purple,39.3016393443,10.0502817838,1.15965292092
Boban Marjanovic,8.0,yellow,12.078125,11.1287692962,1.36850890513
Bobby Brown,10.0,red,4.65,8.16781230776,0.750637510599
Bobby Portis,4.0,purple,14.2508196721,9.05642723799,0.849826913574
Bojan Bogdanovic,10.6666666667,green,20.1839506173,8.62914974314,0.770043173644
Boris Diaw,28.0,purple,10.6028571429,6.9178611805,0.568627302315
Bradley Beal,29.0,blue,34.1688311688,9.78956560162,0.981314222032
Brandan Wright,14.0,purple,13.1518518519,5.21679022819,0.860193685531
Brandon Bass,12.0,purple,9.996,5.91625088124,0.871857013856
