#Date/Time of Update: 2017-03-25 2:29:25 AM,#Game Date,#Game Teams,#Player ID,#LastName,#FirstName,#Position,#Team ID,#Team Abbr.,#Team City,#Team Name,#Fg2PtAtt,#Fg2PtMade,#Fg3PtAtt,#Fg3PtMade,#FtAtt,#FtMade
,2017-03-24,BRO@WAS,9466,Acy,Quincy,PF,84,BRO,Brooklyn,Nets,2,0,1,0,0,0
,2017-03-24,SAC@GSW,9375,Afflalo,Arron,SG,103,SAC,Sacramento,Kings,5,0,2,1,0,0
,2017-03-24,NOP@HOU,9357,Ajinca,Alexis,C,110,NOP,New Orleans,Pelicans,0,0,0,0,0,0
,2017-03-24,MIN@LAL,9272,Aldrich,Cole,C,100,MIN,Minnesota,Timberwolves,0,0,0,0,0,0
,2017-03-24,DEN@IND,9254,Allen,Lavoy,PF,87,IND,Indiana,Pacers,5,2,0,0,0,0
,2017-03-24,PHI@CHI,9178,Anderson,Justin,SF,85,PHI,Philadelphia,76ers,2,1,2,0,0,0
,2017-03-24,NOP@HOU,9353,Anderson,Ryan,PF,109,HOU,Houston,Rockets,4,2,8,3,0,0
,2017-03-24,ATL@MIL,9325,Antetokounmpo,Giannis,PG,90,MIL,Milwaukee,Bucks,19,12,3,1,9,7
,2017-03-24,NOP@HOU,9235,Ariza,Trevor,SF,109,HOU,Houston,Rockets,6,3,4,0,2,2
,2017-03-24,DEN@IND,9198,Arthur,Darrell,PF,99,DEN,Denver,Nuggets,0,0,0,0,0,0
,2017-03-24,DET@ORL,9190,Augustin,D.J.,PG,95,ORL,Orlando,Magic,1,0,2,1,0,0
,2017-03-24,PHX@BOS,9229,Barbosa,Leandro,SG,104,PHX,Phoenix,Suns,9,4,3,1,0,0
,2017-03-24,SAC@GSW,9298,Barnes,Matt,SF,101,GSW,Golden State,Warriors,1,1,1,0,0,0
,2017-03-24,DEN@IND,9197,Barton,Will,SG,99,DEN,Denver,Nuggets,8,4,3,0,2,2
,2017-03-24,CLE@CHA,9133,Batum,Nicolas,SF,93,CHA,Charlotte,Hornets,9,5,9,2,3,3
,2017-03-24,DET@ORL,9211,Baynes,Aron,C,88,DET,Detroit,Pistons,8,4,0,0,0,0
,2017-03-24,BRO@WAS,9523,Beal,Bradley,SG,94,WAS,Washington,Wizards,11,6,2,1,4,4
,2017-03-24,CLE@CHA,9470,Belinelli,Marco,SG,93,CHA,Charlotte,Hornets,5,4,7,3,5,5
,2017-03-24,NOP@HOU,9239,Beverley,Patrick,PG,109,HOU,Houston,Rockets,4,2,7,4,2,1
,2017-03-24,DET@ORL,9497,Biyombo,Bismack,C,95,ORL,Orlando,Magic,5,2,0,0,0,0
,2017-03-24,MIN@LAL,9284,Black,Tarik,C,105,LAL,Los Angeles,Lakers,1,0,0,0,0,0
,2017-03-24,BRO@WAS,9114,Bogdanovic,Bojan,SF,94,WAS,Washington,Wizards,9,6,3,0,5,5
,2017-03-24,PHX@BOS,9434,Booker,Devin,SG,104,PHX,Phoenix,Suns,29,17,11,4,26,24
,2017-03-24,BRO@WAS,9508,Booker,Trevor,PF,84,BRO,Brooklyn,Nets,1,0,0,0,0,0
,2017-03-24,PHX@BOS,9097,Bradley,Avery,SG,82,BOS,Boston,Celtics,0,0,0,0,0,0
,2017-03-24,MIN@LAL,9240,Brewer,Corey,SF,105,LAL,Los Angeles,Lakers,6,4,2,1,1,1
,2017-03-24,ATL@MIL,10127,Brogdon,Malcolm,G,90,MIL,Milwaukee,Bucks,10,5,4,1,1,1
,2017-03-24,DEN@IND,9154,Brooks,Aaron,PG,87,IND,Indiana,Pacers,3,1,5,3,0,0
,2017-03-24,PHX@BOS,10090,Brown,Jaylen,SF,82,BOS,Boston,Celtics,5,3,3,1,1,0
,2017-03-24,DET@ORL,9204,Bullock,Reggie,SF,88,DET,Detroit,Pistons,2,0,3,0,0,0
,2017-03-24,BRO@WAS,9504,Burke,Trey,PG,94,WAS,Washington,Wizards,0,0,1,0,0,0
,2017-03-24,PHI@CHI,9152,Butler,Jimmy,SG,89,CHI,Chicago,Bulls,23,10,1,0,21,16
,2017-03-24,DET@ORL,9203,Caldwell-Pope,Kentavious,SG,88,DET,Detroit,Pistons,7,2,4,0,5,4
,2017-03-24,PHI@CHI,9414,Canaan,Isaiah,SG,89,CHI,Chicago,Bulls,0,0,0,0,0,0
,2017-03-24,NOP@HOU,9237,Capela,Clint,C,109,HOU,Houston,Rockets,7,5,0,0,0,0
