,Team,Score_off,Home Score_off,Away Score_off,FG%_off,FT%_off,3PT_off,3PT%_off,Offensive Rebounds_off,Assists_off,Turnovers_off,Opponent,Score_def,Home Score_def,Away Score_def,FG%_def,FT%_def,3PT_def,3PT%_def,Defensive Rebounds_def,Assists_def,Steals_def
0,BOS,107.51,109.39,105.55,45.46,80.17,12.14,36.1,9.13,25.54,12.72,BRK,112.5,109.93,115.07,45.85,77.16,9.95,36.61,35.11,23.02,7.26
1,BOS,107.51,109.39,105.55,45.46,80.17,12.14,36.1,9.13,25.54,12.72,CHI,102.5,100.93,104.07,45.61,76.91,9.17,34.4,34.07,23.9,7.84
2,BOS,107.51,109.39,105.55,45.46,80.17,12.14,36.1,9.13,25.54,12.72,CHO,104.7,103.37,106.02,45.67,77.61,11.59,36.85,34.84,24.54,6.95
3,BOS,107.51,109.39,105.55,45.46,80.17,12.14,36.1,9.13,25.54,12.72,CHI,102.5,100.93,104.07,45.61,76.91,9.17,34.4,34.07,23.9,7.84
4,BOS,107.51,109.39,105.55,45.46,80.17,12.14,36.1,9.13,25.54,12.72,CLE,107.36,105.27,109.37,45.76,77.84,10.52,36.16,34.13,24.79,6.76
5,BOS,107.51,109.39,105.55,45.46,80.17,12.14,36.1,9.13,25.54,12.72,DEN,111.21,110.71,111.71,47.67,78.21,9.85,37.56,34.5,24.05,6.96
6,BOS,107.51,109.39,105.55,45.46,80.17,12.14,36.1,9.13,25.54,12.72,WAS,107.47,104.55,110.33,46.52,75.41,10.04,36.44,32.46,23.11,8.4
7,BOS,107.51,109.39,105.55,45.46,80.17,12.14,36.1,9.13,25.54,12.72,NYK,108.01,106.46,109.56,45.54,77.11,9.83,34.85,33.17,21.78,7.13
8,BOS,107.51,109.39,105.55,45.46,80.17,12.14,36.1,9.13,25.54,12.72,IND,105.66,102.19,109.14,45.22,78.52,10.5,35.76,32.83,22.22,8.16
9,BOS,107.51,109.39,105.55,45.46,80.17,12.14,36.1,9.13,25.54,12.72,NOP,106.44,107.07,105.8,45.03,76.19,10.52,35.33,35.09,23.44,7.79
10,BOS,107.51,109.39,105.55,45.46,80.17,12.14,36.1,9.13,25.54,12.72,DAL,100.84,97.88,103.8,46.9,77.23,9.61,38.01,30.71,21.26,7.5
11,BOS,107.51,109.39,105.55,45.46,80.17,12.14,36.1,9.13,25.54,12.72,GSW,104.52,102.82,106.24,43.43,76.22,9.2,32.72,35.27,22.26,9.43
12,BOS,107.51,109.39,105.55,45.46,80.17,12.14,36.1,9.13,25.54,12.72,DET,102.45,98.93,105.98,46.04,77.98,9.35,36.56,34.65,23.52,7.01
13,BOS,107.51,109.39,105.55,45.46,80.17,12.14,36.1,9.13,25.54,12.72,MIN,106.68,103.68,109.68,47.54,76.82,9.89,36.65,30.98,23.12,7.98
14,BOS,107.51,109.39,105.55,45.46,80.17,12.14,36.1,9.13,25.54,12.72,BRK,112.5,109.93,115.07,45.85,77.16,9.95,36.61,35.11,23.02,7.26
15,BOS,107.51,109.39,105.55,45.46,80.17,12.14,36.1,9.13,25.54,12.72,SAS,99.43,98.8,100.06,44.65,77.82,8.89,35.16,33.48,21.59,7.98
16,BOS,107.51,109.39,105.55,45.46,80.17,12.14,36.1,9.13,25.54,12.72,MIA,102.11,102.51,101.71,45.02,78.25,7.79,34.3,33.01,19.65,7.15
17,BOS,107.51,109.39,105.55,45.46,80.17,12.14,36.1,9.13,25.54,12.72,DET,102.45,98.93,105.98,46.04,77.98,9.35,36.56,34.65,23.52,7.01
18,BOS,107.51,109.39,105.55,45.46,80.17,12.14,36.1,9.13,25.54,12.72,SAC,106.68,106.9,106.46,46.18,77.77,10.93,36.44,32.38,23.67,7.63
19,BOS,107.51,109.39,105.55,45.46,80.17,12.14,36.1,9.13,25.54,12.72,PHI,108.13,105.95,110.32,46.07,77.28,8.89,35.67,33,22.67,8.45
20,BOS,107.51,109.39,105.55,45.46,80.17,12.14,36.1,9.13,25.54,12.72,HOU,109.22,107.66,110.8,46.27,76.8,9.81,34.07,33.44,23.94,8.11
